id_estado,nombre_estado,id_distrito_local,cabecera_distrital_local,id_municipio,municipio,seccion,morena,total_votos,lista_nominal,morena_pct,particip_pct
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2909,182.0,656,1475,27.74,44.47
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2910,178.0,732,1804,24.32,40.58
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2911,190.0,929,1906,20.45,48.74
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2912,123.0,643,1280,19.13,50.23
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2913,127.0,605,1429,20.99,42.34
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2914,103.0,448,946,22.99,47.36
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2915,456.0,3816,6076,11.95,62.8
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2916,127.0,681,1120,18.65,60.8
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2917,206.0,1149,1988,17.93,57.8
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2918,112.0,1299,1855,8.62,70.03
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2919,90.0,675,1138,13.33,59.31
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2920,185.0,840,1620,22.02,51.85
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2921,149.0,756,1564,19.71,48.34
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2922,152.0,713,1439,21.32,49.55
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2923,183.0,571,1415,32.05,40.35
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2924,158.0,886,1554,17.83,57.01
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2925,141.0,843,1319,16.73,63.91
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2926,148.0,802,1481,18.45,54.15
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2927,98.0,590,1037,16.61,56.89
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2928,108.0,867,1357,12.46,63.89
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2929,175.0,1142,1843,15.32,61.96
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2930,297.0,1509,2445,19.68,61.72
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2931,224.0,1055,2116,21.23,49.86
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2932,209.0,829,1994,25.21,41.57
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2933,359.0,1506,2984,23.84,50.47
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2934,208.0,1164,1873,17.87,62.15
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2935,132.0,1019,1551,12.95,65.7
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2936,105.0,757,1133,13.87,66.81
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2937,143.0,591,1200,24.2,49.25
